Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,40 Yard,Rating,Draft
2008,Jerod Mayo,Tennessee,ILB,73,242,,,32,114,4.29,7.31,4.54,91,1
2008,Matt Ryan,Boston College,QB,77,228,32,,,,4.51,7.4,4.89,87,1
2005,Derrick Johnson,Texas,OLB,75,242,,,37.5,120,3.93,7.21,4.52,91,1
2005,Derrick Johnson,Texas,CB,71,197,,18,,,4.1,7.15,4.43,91,1
2013,Jamie Collins,Southern Mississippi,OLB,76,250,17,19,41.5,139,4.32,7.1,4.64,81,1
2013,Larry Warford,Kentucky,OG,75,332,,28,22.5,96,5.1,7.78,5.58,88,1
2012,Alshon Jeffery,South Carolina,WR,75,216,,,,,,,4.48,91,1
2009,Phil Loadholt,Oklahoma,OT,80,332,,24,29,95,5.06,8.18,5.49,90,1
2007,Brandon Mebane,California,DT,73,309,,24,24,106,4.65,7.94,5.15,91,1
2006,Stephen Tulloch,North Carolina State,ILB,71,241,,27,33.5,113,4.18,7.2,4.84,89,1
2011,Rodney Hudson,Florida State,C,74,299,,27,25.5,95,4.96,8.03,5.27,79,1
2010,Eric Berry,Tennessee,FS,73,211,,19,43,130,4.23,6.8,4.4,90,1
2010,Sean Lee,Penn State,ILB,74,236,,24,37.5,120,,,4.71,89,1
2010,Golden Tate,Notre Dame,WR,70,199,,17,35,120,4.34,7.12,4.42,84,1
2010,Trent Williams,Oklahoma,OT,77,315,,23,34.5,113,4.63,7.64,4.81,95,1
2009,Brian Orakpo,Texas,DE,75,263,,31,39.5,,,,4.63,92,1
2009,Glover Quin,New Mexico,FS,71,204,,22,38,119,4.43,7.39,4.5,84,1
2008,Jake Long,Michigan,OT,79,313,,37,27.5,102,4.73,7.44,5.22,90,1
2006,Antoine Bethea,Howard,FS,71,203,,19,36.5,,4.13,6.99,4.39,87,1
2005,Michael Roos,Eastern Washington,OT,79,320,,19,29,97,4.52,7.73,5.3,89,1
2003,Lance Briggs,Arizona,ILB,73,242,,25,33,113,,,4.75,87,1
2013,Kyle Long,Oregon,OT,78,313,29,,28,107,4.63,7.83,4.94,78,1
2012,Kelechi Osemele,Iowa State,OT,78,333,,32,26.5,104,4.87,7.91,5.22,81,1
2012,Kevin Zeitler,Wisconsin,OG,76,314,,32,29,101,4.61,7.77,5.32,83,1
2011,Jimmy Smith,Colorado,CB,74,211,,24,36,123,4.06,6.93,4.42,82,1
2008,Tyvon Branch,Connecticut,CB,73,204,,19,34,120,4.4,,4.31,88,1
2007,Ryan Kalil,Southern Californiaifornia,C,75,299,,34,26,104,4.34,7.5,4.96,89,1
2006,Jason Hatcher,Grambling State (LA),DE,78,284,,28,35.5,113,4.5,7.68,4.82,89,1
2005,DeMarcus Ware,Troy,OLB,76,251,,27,38.5,122,4.07,6.85,4.56,90,1
2010,Dennis Pitta,BYU,TE,77,245,,27,34,113,4.17,6.72,4.68,87,1
2006,Tim Jennings,Georgia,CB,68,185,,17,37.5,,,,4.32,88,1
2014,C.J. Mosley,Alabama,ILB,74,234,,,35,116,4.4,7.3,4.65,76,1
2012,Vontaze Burfict,Arizona State,ILB,73,248,,,30,104,,,5,88,1
2011,Prince Amukamara,Nebraska,CB,73,206,,15,38,128,4.08,6.97,4.38,84,1
2011,Stephen Paea,Oregon State,DT,73,303,,49,,,,,4.98,79,1
2010,Jerry Hughes,Texas Christian,OLB,74,255,,26,34.5,118,4.15,6.99,4.65,83,1
2009,Sen'Derrick Marks,Auburn,DT,74,306,,,33,,,,5,80,1
2006,Marques Colston,Hofstra,WR,77,224,,,37,123,4.44,6.96,4.5,90,1
2006,Bernard Pollard,Purdue,SS,74,224,,,36.5,131,,,4.57,87,1
2005,Brandon Browner,Oregon State,CB,76,221,,13,36.5,123,4.24,7.2,4.63,86,1
2005,C.J. Mosley,Missouri,DT,74,312,,27,27.5,100,4.65,8.21,5.08,76,1
2003,Carson Palmer,Southern Californiaifornia,QB,77,232,26,,,,,,4.65,83,1
2003,Charles Tillman,Louisiana-Lafayette,CB,73,207,,12,40,131,3.89,7.05,4.49,87,1
2012,Stephon Gilmore,South Carolina,CB,73,190,,15,36,123,3.94,6.61,4.38,85,1
2012,Ryan Tannehill,Texas A&M,QB,76,221,34,,,,,,4.65,84,1
2011,Jordan Cameron,Southern Californiaifornia,TE,77,254,,23,37.5,119,4.03,6.82,4.53,88,1
2010,Lamarr Houston,Texas,DT,75,305,,30,33.5,114,4.71,7.61,4.84,89,1
2007,Zach Miller,Arizona State,TE,77,256,,,34,115,4.42,7.01,4.87,86,1
2004,Darnell Dockett,Florida State,DT,76,297,,26,31,105,,,5,85,1
2014,Chris Borland,Wisconsin,ILB,73,248,32,27,31,113,4.27,7.18,4.83,73,1
2012,Robert Blanton,Notre Dame,CB,73,208,,12,34,116,3.97,6.71,4.66,70,1
2012,Nick Foles,Arizona,QB,77,243,29,,30.5,112,,,5.03,88,1
2011,Brandon Fusco,Slippery Rock,C,76,306,,26,28.5,108,4.43,7.29,5.18,84,1
2010,Rolando McClain,Alabama,ILB,76,249,,24,,,,,4.68,0,0
2009,Louis Delmas,Western Michigan,FS,73,202,12,12,37,126,4.17,6.67,4.52,84,1
2009,Knowshon Moreno,Georgia,RB,71,217,,25,35.5,115,4.27,6.84,4.5,87,1
2009,Lardarius Webb,Nicholls State,CB,70,179,,15,36.5,121,4.1,6.77,4.35,90,1
2007,Ahmad Bradshaw,Marshall,RB,70,198,,,34,112,4.09,6.7,4.55,82,1
2007,Paul Posluszny,Penn State,OLB,74,238,,22,37,116,4.2,6.94,4.7,82,1
2013,Sio Moore,Connecticut,OLB,73,245,,29,38,127,4.31,7.49,4.65,82,1
2012,Mike Adams,Ohio State,OT,79,323,,19,28.5,100,4.95,7.94,5.28,78,1
2012,George Iloka,Boise State,FS,76,225,,20,34.5,124,4.03,7.03,4.6,77,1
2011,Byron Maxwell,Clemson,CB,73,202,,24,33,124,,,4.43,84,1
2011,Shane Vereen,California,RB,70,210,,31,34,115,4.28,6.95,4.49,82,1
2010,Sam Bradford,Oklahoma,QB,76,236,36,,,,,,4.79,85,1
2010,Anthony Davis,Rutgers,OT,77,323,,21,33,,4.97,8.17,5.36,88,1
2010,Koa Misi,Utah,OLB,75,251,,,38,127,4.27,7.07,4.75,82,1
2010,Sean Weatherspoon,Missouri,OLB,73,239,,34,40,123,4.38,6.99,4.62,76,1
2009,B.J. Raji,Boston College,DT,74,337,,33,32,103,4.69,7.9,5.12,83,1
2005,Anthony Davis,Wisconsin,RB,67,200,,18,38,121,,7.39,4.5,88,1
2004,Nick Hardwick,Purdue,C,76,295,,27,34,108,4.64,7.84,5.2,84,1
2003,Anthony Davis,Virginia Tech,OG,77,329,,,27.5,95,4.98,8.26,5.34,88,1
2014,Jason Verrett,TCU,CB,69,189,,,39,127,4,6.69,4.38,77,1
2013,Tyler Eifert,Notre Dame,TE,78,250,23,22,35.5,119,4.32,6.92,4.68,82,1
2012,Akiem Hicks,Regina,DT,77,318,,26,31.5,108,4.86,7.75,5.21,82,1
2012,Brandon Marshall,Nevada,OLB,73,242,,28,30.5,108,4.09,7.05,4.72,96,1
2012,Danny Trevathan,Kentucky,OLB,73,237,,18,31.5,111,,,4.75,82,1
2010,Joique Bell,Wayne State (MI),RB,71,220,,,36.5,120,4.17,6.84,4.68,84,1
2010,LeGarrette Blount,Oregon,RB,73,241,16,18,35,117,4.49,6.85,4.7,83,1
2010,Brandon Graham,Michigan,OLB,74,268,,31,,,,,4.71,77,1
2009,Robert Ayers,Tennessee,DE,75,272,,18,29.5,102,4.51,7.56,4.77,81,1
2006,Owen Daniels,Wisconsin,TE,76,253,,23,34.5,114,4.11,6.88,4.65,82,1
2006,Dawan Landry,Georgia Tech,SS,73,220,,18,37.5,124,4.28,,4.64,77,1
2006,Brandon Marshall,Central Florida,WR,77,229,,,37,120,,,4.52,96,1
2006,DeMeco Ryans,Alabama,OLB,73,236,,23,39,129,4.18,7.19,4.65,78,1
2014,Jadeveon Clowney,South Carolina,DE,77,266,,21,37.5,123,,7.27,4.53,83,1
2013,Andre Ellington,Clemson,RB,70,199,,,34,122,,,4.61,80,1
2012,Tyrone Crawford,Boise State,DE,76,275,,28,33,113,4.44,7.09,4.82,74,1
2012,Marvin Jones,California,WR,74,199,,22,33,112,4.11,6.81,4.46,81,1
2012,Jermaine Kearse,Washington,WR,73,209,,14,34,119,4.12,7.03,4.5,78,1
2012,Rueben Randle,LSU,WR,75,210,,15,31,121,4.36,6.99,4.55,77,1
2012,J.R. Sweezy,North Carolina State,DT,77,298,,21,36,113,4.41,7.4,4.97,78,1
2011,Colin Kaepernick,Nevada,QB,77,233,,,32.5,115,4.18,6.85,4.53,89,1
2011,Stevan Ridley,Louisiana State,RB,71,225,,18,36,118,4.21,6.78,4.65,80,1
2009,Kenny Britt,Rutgers,WR,75,218,,23,37,124,4.47,,4.49,77,1
2008,Leodis McKelvin,Troy,CB,70,190,,17,33.5,121,4.1,7.06,4.38,81,1
2008,Donald Thomas,Connecticut,OG,76,303,,28,24.5,100,4.78,7.45,5,81,1
2005,Ryan Fitzpatrick,Harvard,QB,75,232,48,,30.5,105,4.07,7.09,4.86,80,1
2014,Brandin Cooks,Oregon State,WR,70,189,,16,36,120,3.81,6.76,4.33,74,1
2012,Jeremy Lane,Northwestern State (LA),CB,73,190,,,,,,,4.52,78,1
2011,Allen Bailey,Miami,DE,75,285,,27,36.5,117,4.56,7.43,4.71,80,1
2010,Jared Odrick,Penn State,DT,77,304,,26,29,106,4.59,7.22,5.03,80,1
2010,Willie Young,North Carolina State,DE,77,251,,25,38,118,4.56,7.24,4.88,80,1
2008,Geoff Schwartz,Oregon,OT,78,332,,,20.5,98,4.79,7.9,5.36,80,1
2004,DeAngelo Hall,Virginia Tech,CB,70,202,,,,,,,4.34,82,1
2014,Calvin Pryor,Louisville,FS,71,207,,18,34.5,115,,,4.58,79,1
2012,Antonio Allen,South Carolina,SS,74,210,,17,34,118,4.25,7.02,4.58,75,1
2012,Brian Quick,Appalachian State (NC),WR,76,220,,15,34,119,4.23,7.1,4.5,72,1
2011,Akeem Ayers,UCLA,OLB,75,254,,18,31,116,4.28,7.49,4.81,84,1
2011,Jaiquawn Jarrett,Temple,FS,73,198,,14,30,113,4.14,6.95,4.62,69,1
2011,Daniel Kilgore,Appalachian State (NC),OG,75,308,,23,32.5,105,4.68,7.59,5.28,75,1
2011,Ian Williams,Notre Dame,DT,73,319,,31,28.5,98,4.78,,5.21,74,1
2010,Donald Butler,Washington,ILB,73,245,,35,,,,,4.62,83,1
2010,Earl Mitchell,Arizona,DT,74,296,,25,28.5,107,4.55,7.68,4.75,79,1
2009,Garrett Reynolds,North Carolina,OT,80,309,,19,22,94,4.88,7.87,5.4,0,0
2008,Gosder Cherilus,Boston College,OT,79,314,,24,23,102,4.82,7.6,5.14,85,1
2008,Quintin Demps,Texas-El Paso,FS,73,206,,16,31.5,110,,,4.39,77,1
2007,Jon Beason,Miami,OLB,73,237,,19,,111,,,4.72,79,1
2007,Justin Durant,Hampton,ILB,73,230,,25,36,121,4.09,6.77,4.51,77,1
2007,Anthony Spencer,Purdue,DE,75,261,,30,32.5,112,4.43,7.14,4.7,85,1
2006,Miles Austin,Monmouth,WR,74,215,,,40.5,123,4.14,7.09,4.47,77,1
2006,A.J. Hawk,Ohio State,OLB,73,248,,24,40,115,3.96,6.82,4.59,81,1
2006,Frostee Rucker,Southern Californiaifornia,DE,75,267,,,29.5,110,,,4.88,76,1
2005,Carlos Rogers,Auburn,CB,73,196,,15,40.5,126,3.82,6.48,4.44,81,1
2014,Martavis Bryant,Clemson,WR,76,211,14,16,39,123,4.15,7.18,4.42,66,1
2014,Taylor Lewan,Michigan,OT,79,309,,29,30.5,116,4.49,7.39,4.87,79,1
2014,Tre Mason,Auburn,RB,68,207,,,38.5,125,4.15,,4.5,74,1
2013,Johnathan Cyprien,Florida International,SS,73,217,,,38.5,,,,4.56,77,1
2013,Dee Milliner,Alabama,CB,73,201,,,36,122,4.32,6.95,4.37,78,1
2012,John Hughes,Cincinnati,DT,75,309,,28,,,,,5.32,77,1
2011,Cortez Allen,Citadel,CB,73,197,,18,35.5,129,4.01,6.76,4.5,82,1
2011,James Carpenter,Alabama,OT,76,321,,23,,,,,5.22,78,1
2011,Adrian Clayborn,Iowa,DE,75,281,,,33,113,4.13,7.3,4.78,76,1
2011,Kendall Hunter,Oklahoma State,RB,67,199,,24,35,122,4.21,6.74,4.46,78,1
2010,Arthur Moats,James Madison,OLB,73,246,,24,36.5,122,4.37,7.22,4.64,74,1
2009,Donald Brown,Connecticut,RB,70,210,,,41.5,125,4.1,6.93,4.46,80,1
2009,Jamarca Sanford,Mississippi,SS,70,214,,29,33.5,116,4.2,7.02,4.5,79,1
2008,Geno Hayes,Florida State,OLB,73,226,,22,26.5,116,4.48,7.22,4.64,75,1
2008,Jameel McClain,Syracuse,ILB,73,249,,24,26,110,4.31,7.12,4.74,76,1
2008,Craig Stevens,California,TE,75,254,,27,27.5,114,4.31,7.07,4.59,76,1
2007,Allen Barbre,Missouri Southern,OT,76,300,,28,32,105,4.63,7.4,4.84,76,1
2007,Desmond Bishop,California,ILB,74,239,,33,,,,,4.78,0,0
2007,Corey Hilliard,Oklahoma State,OT,77,308,,28,27,106,4.65,7.45,5.29,71,1
2007,Josh Wilson,Maryland,CB,69,189,,,36.5,120,4.43,7.07,4.39,79,1
2005,Lorenzo Alexander,California,DT,74,289,,28,29.5,,4.55,7.55,5.12,75,1
2005,Jim Leonhard,Wisconsin,FS,68,191,,19,,,,,4.63,0,0
2005,Kyle Orton,Purdue,QB,76,233,27,,26.5,,4.54,7.39,5.06,74,1
2004,Tommy Kelly,Mississippi State,DE,78,294,,24,25,105,4.45,7.79,4.87,78,1
2004,Shaun Phillips,Purdue,DE,75,255,,,33,114,4.23,6.95,4.78,80,1
2014,Preston Brown,Louisville,ILB,73,251,,23,33,115,4.26,6.98,4.86,67,1
2014,Kyle Fuller,Virginia Tech,CB,73,190,,12,38.5,127,4.19,6.9,4.49,75,1
2014,Allen Robinson,Penn State,WR,74,220,,,39,126,4,7,4.6,72,1
2013,Stedman Bailey,West Virginia,WR,70,193,,11,34.5,117,4.09,6.81,4.52,73,1
2013,Jonathan Cooper,North Carolina,OG,74,311,34,35,27,108,4.84,7.78,5.07,83,1
2013,Joseph Fauria,UCLA,TE,79,259,,17,,,,,4.82,77,1
2013,Jelani Jenkins,Florida,OLB,73,243,,27,,,,,4.54,72,1
2013,Damontre Moore,Texas A&M,DE,77,250,18,12,35.5,122,,,4.95,71,1
2012,Corey White,Samford,SS,73,206,,15,37.5,126,4.22,6.72,4.53,75,1
2012,Tahir Whitehead,Temple,OLB,73,233,,21,37,124,4.37,7.14,4.62,66,1
2011,Quinton Carter,Oklahoma,FS,73,208,,23,34.5,121,4.06,7.05,4.57,73,1
2010,Ted Larsen,North Carolina State,C,75,304,,26,24,96,4.66,7.81,5.19,74,1
2009,Mark Sanchez,Southern Californiaifornia,QB,74,227,28,,32.5,116,4.21,7.06,4.93,74,1
2009,Kraig Urbik,Wisconsin,OG,77,328,,29,24,94,4.89,7.87,5.37,81,1
2006,Brodrick Bunkley,Florida State,DT,75,306,,44,32.5,113,,,5.01,79,1
2005,Joe Berger,Michigan Tech,OT,78,303,,30,27,96,4.68,7.77,5.18,75,1
2003,Kevin Williams,Oklahoma State,DE,77,304,,23,30,112,5.04,7.66,4.81,82,1
2002,Brett Keisel,BYU,DE,77,279,,26,33.5,107,4.51,7.28,4.89,0,0
2014,Justin Britt,Missouri,OT,78,325,,23,23,99,4.69,8.14,5.19,72,1
2014,Jerick McKinnon,Georgia Southern,RB,69,209,,32,40.5,132,4.12,6.83,4.41,66,1
2014,Ryan Shazier,Ohio State,OLB,73,237,,25,42,128,4.21,6.91,4.58,74,1
2013,Robert Alford,Southeast Louisiana,CB,70,188,,17,40,132,4.23,6.89,4.39,73,1
2013,Montee Ball,Wisconsin,RB,71,214,,15,32,118,4.4,6.88,4.66,78,1
2013,Johnthan Banks,Mississippi State,CB,74,185,,10,34,125,4.27,6.97,4.61,75,1
2013,Jordan Hill,Penn State,DT,73,303,,28,22.5,103,4.51,7.49,5.23,66,1
2013,Zac Stacy,Vanderbilt,RB,68,216,,27,33,122,4.17,6.7,4.55,84,1
2013,Manti Te'o,Notre Dame,ILB,73,241,23,,33,113,4.27,7.13,4.82,72,1
2013,Steve Williams,California,CB,69,181,,12,40.5,128,4.1,6.89,4.42,74,1
2012,Jeff Allen,Illinois,OT,76,307,,26,27.5,102,4.9,8.01,5.17,77,1
2012,Jonas Gray,Notre Dame,RB,70,223,,20,,,,,4.58,0,0
2012,Ronnie Hillman,San Diego State,RB,69,200,,17,37,,,,4.42,74,1
2012,Kyle Wilber,Wake Forest,OLB,76,249,,25,33.5,117,4.31,7.11,4.73,72,1
2011,Colin McCarthy,Miami,ILB,73,238,,23,36.5,119,4.2,6.93,4.59,76,1
2011,Phil Taylor,Baylor,DT,75,334,,31,29.5,100,4.77,7.75,5.09,83,1
2011,D.J. Williams,Arkansas,TE,74,245,,20,33.5,111,4.51,7.29,4.59,78,1
2010,Mike Neal,Purdue,DT,75,294,,31,33,113,4.53,7.53,4.87,82,1
2009,Brian Hoyer,Michigan State,QB,74,215,,,32,109,4.42,7.1,5.02,79,1
2009,Vance Walker,Georgia Tech,DT,74,304,,29,33,,,,5.32,79,1
2008,Mike Jenkins,South Florida,CB,70,197,,18,34,117,4.4,7.21,4.38,77,1
2008,Chris Williams,Vanderbilt,OT,78,315,,21,25,103,4.85,7.95,5.13,77,1
2007,Trumaine McBride,Mississippi,CB,69,185,,14,34.5,122,4.32,6.96,4.57,75,1
2007,Aaron Ross,Texas,CB,73,193,,17,34,118,4.15,6.72,4.44,0,0
2007,Drew Stanton,Michigan State,QB,75,226,35,,30.5,108,4.41,6.77,4.75,73,1
2005,Alex Smith,Stanford,TE,76,258,,28,,,,,4.75,76,1
2005,Alex Smith,Utah,QB,76,217,40,,32,113,3.97,6.82,4.71,76,1
2014,Crockett Gillmore,Colorado State,TE,78,260,,,,120,4.44,7.42,4.89,71,1
2014,Devon Kennard,Southern Californiaifornia,OLB,75,249,,23,30,112,4.32,7.25,4.7,66,1
2014,Telvin Smith,Florida State,OLB,75,218,,,31.5,117,,,4.52,64,1
2013,Justin Hunter,Tennessee,WR,76,196,12,,39.5,136,4.33,,4.44,75,1
2013,John Jenkins,Georgia,DT,76,346,,30,,,,,5.21,73,1
2013,Nickell Robey,Southern Californiaifornia,CB,67,169,,10,37.5,127,4.09,6.74,4.53,75,1
2013,Denard Robinson,Michigan,WR,71,199,,,36.5,123,4.22,7.09,4.43,69,1
2013,Hugh Thornton,Illinois,OG,75,320,,27,,,4.63,7.45,5.11,76,1
2013,Markus Wheaton,Oregon State,WR,71,189,,20,37,120,4.02,6.8,4.45,73,1
2013,Earl Wolff,North Carolina State,SS,71,209,,,39,134,4.07,,4.44,76,1
2012,Vick Ballard,Mississippi State,RB,70,219,,23,33,115,4.19,7.03,4.59,75,1
2012,Andre Branch,Clemson,DE,76,259,,19,32.5,120,4.25,7.19,4.67,75,1
2012,Zach Brown,North Carolina,OLB,73,244,,,33.5,116,,,4.44,75,1
2012,Morris Claiborne,LSU,CB,71,188,4,,34.5,118,4.12,7.01,4.5,77,1
2012,Tom Compton,South Dakota,OT,77,314,,20,30,108,4.6,7.59,5.01,71,1
2012,Kirk Cousins,Michigan State,QB,75,214,33,,28.5,109,4.5,7.05,4.84,77,1
2012,Austin Davis,Southern Mississippi,QB,74,219,,,31,109,4.11,6.73,4.69,70,1
2012,Duke Ihenacho,San Jose State,SS,73,213,,20,35,122,4.22,6.78,4.67,75,1
2011,Akeem Dent,Georgia,ILB,73,242,,24,37.5,,,,4.78,75,1
2011,Andre Holmes,Hillsdale,WR,76,210,,11,35,130,4.31,6.69,4.51,73,1
2011,Terrell McClain,South Florida,DT,74,297,,29,28,104,4.56,7.48,4.98,71,1
2011,Daniel Thomas,Kansas State,RB,72,230,,21,,,,,4.63,76,1
2010,Kavell Conner,Clemson,OLB,73,242,,24,33.5,110,4.6,7.36,4.59,72,1
2010,John Jerry,Mississippi,OT,78,328,,,27.5,101,4.69,7.93,5.15,75,1
2010,Colt McCoy,Texas,QB,73,216,25,,,114,,,4.79,73,1
2010,Ben Tate,Auburn,RB,71,220,,26,40.5,124,4.12,6.91,4.34,83,1
2009,Fili Moala,Southern Californiaifornia,DT,76,305,,25,30.5,100,,,5.07,75,1
2008,Anthony Collins,Kansas,OT,77,317,,26,22.5,97,4.87,7.71,5.54,84,1
2008,Letroy Guion,Florida State,DT,76,303,,26,,,,,5.31,75,1
2008,Darren McFadden,Arkansas,RB,73,211,,,33,128,,,4.33,79,1
2005,Adam Snyder,Oregon,OG,78,316,,21,28.5,93,4.86,7.85,5.34,74,1
2004,George Wilson,Arkansas,WR,73,213,,,35,120,3.98,7.07,4.63,81,1
2015,Nick Perry,Alabama,FS,73,205,,,,,,,4.63,0,0
2014,Dominique Easley,Florida,DT,74,288,,26,,,,,4.93,73,1
2014,Devonta Freeman,Florida State,RB,68,206,,,31.5,116,4.26,7.11,4.58,72,1
2014,Anthony Hitchens,Iowa,OLB,73,240,,23,31.5,115,4.45,7.15,4.74,64,1
2014,Marqueston Huff,Wyoming,FS,71,196,,15,35.5,116,4.19,7.26,4.49,66,1
2014,Zach Mettenberger,Louisiana State,QB,77,224,,,,,,,,68,1
2014,Trent Murphy,Stanford,DE,77,250,,19,35.5,116,4.2,6.78,4.86,70,1
2014,Paul Richardson,Colorado,WR,73,175,,,38,123,,7.09,4.4,68,1
2014,Austin Seferian-Jenkins,Washington,TE,77,262,,20,,,,,4.75,75,1
2014,John Urschel,Penn State,OG,75,313,,30,29,101,4.47,7.55,5.31,69,1
2014,Chris Watt,Notre Dame,OG,75,310,,29,,,,,5.5,71,1
2014,Andre Williams,Boston College,RB,71,230,,,38,128,4.06,7.27,4.56,66,1
2014,Avery Williamson,Kentucky,ILB,73,246,,25,30.5,120,4.07,,4.66,68,1
2013,William Gholston,Michigan State,DE,78,281,,23,28.5,110,4.59,7.2,4.96,70,1
2013,E.J. Manuel,Florida State,QB,77,237,28,,34,118,4.21,7.08,4.65,78,1
2013,Vance McDonald,Rice,TE,76,267,30,31,33.5,119,4.53,7.08,4.69,71,1
2013,Bjoern Werner,Florida State,DE,75,266,,25,31,111,4.4,7.3,4.83,73,1
2012,James-Michael Johnson,Nevada,ILB,73,241,,23,37,124,4.37,7.34,4.6,67,1
2012,Nick Perry,Southern Californiaifornia,DE,75,271,,35,38.5,124,4.66,7.25,4.55,73,1
2012,Trent Richardson,Alabama,RB,69,228,,,,,,,4.49,80,1
2012,Jacquies Smith,Missouri,DE,75,253,,21,31.5,110,4.31,7.25,4.75,0,0
2011,Gabe Carimi,Wisconsin,OT,79,314,,29,31.5,109,,,5.18,73,1
2011,Denarius Moore,Tennessee,WR,73,194,,13,36,118,4.15,6.78,4.43,81,1
2011,Jah Reid,Central Florida,OT,79,327,,28,29.5,111,4.65,7.73,5.32,73,1
2010,Anthony McCoy,Southern Californiaifornia,TE,77,259,,19,35.5,113,4.57,6.99,4.71,76,1
2010,George Selvie,South Florida,DE,77,252,,24,30.5,109,4.63,7.48,4.93,77,1
2008,Tracy Porter,Indiana,CB,71,188,,18,34,123,4.07,7.2,4.37,77,1
2007,Robert Meachem,Tennessee,WR,74,214,,,37.5,121,4.31,6.97,4.39,76,1
2005,Ronnie Brown,Auburn,RB,73,233,,18,34,117,4.14,7.12,4.43,0,0
2014,Zach Fulton,Tennessee,OG,77,316,,25,24.5,98,5.16,7.87,5.16,68,1
2014,Phillip Gaines,Rice,CB,73,193,,11,36.5,122,4.04,6.62,4.38,71,1
2014,Allen Hurns,Miami,WR,73,198,,14,31,120,4.5,7.23,4.55,0,0
2014,Johnny Manziel,Texas A&M,QB,73,207,32,,31.5,112,,,4.68,77,1
2014,Lorenzo Taliaferro,Coastal Carolina,RB,73,229,,18,33,116,4.22,6.88,4.58,69,1
2014,Brandon Thomas,Clemson,OG,75,317,,35,29,98,4.83,8.13,5.09,73,1
2013,Tommy Bohanon,Wake Forest,FB,73,246,,36,35,119,4.42,7.27,4.88,72,1
2013,Arthur Brown,Kansas State,OLB,73,241,20,,,116,,,4.62,73,1
2013,Alex Okafor,Texas,DE,77,264,,21,,,,,4.78,68,1
2013,David Quessenberry,San Jose State,OT,77,302,,25,29.5,112,4.45,7.49,5.08,66,1
2012,Brandon Bolden,Mississippi,RB,71,222,,21,38,119,4.44,6.96,4.55,74,1
2012,Jamell Fleming,Oklahoma,CB,71,206,,23,34,125,3.97,6.71,4.43,67,1
2012,Lamar Holmes,Southern Mississippi,OT,77,323,,22,27,104,4.8,7.74,5.29,69,1
2012,Case Keenum,Houston,QB,73,208,,,32.5,103,,,4.72,78,1
2012,Jonathan Martin,Stanford,OT,77,312,,,,,,,5.35,70,1
2012,Shea McClellin,Boise State,OLB,75,260,,19,31.5,118,4.33,7.07,4.62,67,1
2012,Evan Rodriguez,Temple,FB,74,239,,18,36,119,4.28,6.94,4.53,65,1
2012,Jerel Worthy,Michigan State,DT,74,308,,,28.5,107,4.56,7.6,5,70,1
2011,Brandon Harris,Miami,CB,70,191,,13,35.5,113,4.12,6.77,4.46,72,1
2011,Jake Locker,Washington,QB,75,231,20,,35,115,4.12,6.77,4.51,75,1
2011,Ricardo Lockette,Fort Valley State (GA),WR,74,211,,,35.5,,4.19,7.15,4.34,65,1
2011,Ryan Mallett,Arkansas,QB,79,253,26,,24,,,,5.24,73,1
2011,Christian Ponder,Florida State,QB,74,229,35,,34,116,4.09,6.85,4.63,77,1
2010,Terrence Cody,Alabama,DT,76,349,,,20.5,,5.03,8.19,5.71,73,1
2010,Joe Hawley,UNLV,C,75,297,,35,26,105,4.73,7.5,5.21,73,1
2010,Tony Moeaki,Iowa,TE,75,245,,18,34,113,4.42,7.1,4.69,77,1
2010,Shelley Smith,Colorado State,OG,75,300,,26,34,112,4.71,7.67,5.03,79,1
2010,Stevenson Sylvester,Utah,OLB,74,231,,23,,,,,4.71,0,0
2010,Kyle Wilson,Boise State,CB,70,194,,25,,,,,4.43,76,1
2008,Kellen Davis,Michigan State,TE,79,262,,22,28,118,4.38,7.25,4.59,74,1
2006,Jeromey Clary,Kansas State,OT,78,309,,24,26,102,4.66,7.8,5.28,73,1
2006,Mathias Kiwanuka,Boston College,DE,78,266,,17,32,120,4.15,7.29,4.7,72,1
2005,Mike Patterson,Southern Californiaifornia,DT,73,292,,26,,,,,5.08,73,1
2002,Josh McCown,Sam Houston State (TX),QB,76,223,30,,38.5,120,3.9,6.85,4.59,83,1
2014,Bashaud Breeland,Clemson,CB,71,197,,11,34.5,123,4.33,7.04,4.62,69,1
2014,Aaron Lynch,South Florida,DE,77,249,,18,,,,,4.76,61,1
2014,Keith McGill,Utah,CB,75,211,,,39,128,4.18,7.29,4.51,70,1
2014,Troy Niklas,Notre Dame,TE,78,270,,27,32,113,4.55,7.57,4.84,74,1
2014,Kyle Van Noy,BYU,OLB,75,243,,21,32.5,111,4.2,7.22,4.71,72,1
2013,Oday Aboushi,Virginia,OT,77,308,,17,23.5,100,4.84,7.92,5.45,67,1
2013,Sam Barrington,South Florida,ILB,73,246,,22,32.5,117,,,4.91,65,1
2013,David Bass,Missouri Western,DE,76,262,,20,30.5,111,4.33,7.07,4.84,65,1
2013,Stepfan Taylor,Stanford,RB,69,214,,17,30,110,4.5,7.13,4.76,70,1
2013,Blidi Wreh-Wilson,Connecticut,CB,73,195,33,14,36,128,4.12,6.97,4.53,73,1
